date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:38	96506/96506	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:24%20GMT	https://www.banouto.bj/societe/article/20231026-benin-vano-baby-ambassadeur-de-betclic	www.banouto.bj/societe/article/20231026-benin-vano-baby-ambassadeur-de-betclic.html	(from https://www.banouto.bj/)
11:56:38	105774/105774	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:37%20GMT	https://www.banouto.bj/politique/article/20241023-conseil-des-ministres-au-benin-le-compte-rendu-du-mercredi-23-octobre-2024	www.banouto.bj/politique/article/20241023-conseil-des-ministres-au-benin-le-compte-rendu-du-mercredi-23-octobre-2024.html	(from https://www.banouto.bj/)
11:56:41	95922/95922	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:40%20GMT	https://www.banouto.bj/societe/article/20241024-criet-hosee-houngnibo-soutien-de-olivier-boko-se-defend-des-faits-dincitation-a-la-rebellion-suite-a-laffaire-coup-detat	www.banouto.bj/societe/article/20241024-criet-hosee-houngnibo-soutien-de-olivier-boko-se-defend-des-faits-dincitation-a-la-rebellion-suite-a-laffaire-coup-detat.html	(from https://www.banouto.bj/)
11:56:42	58521/58521	---M--	200	added ('OK')	text/html	date:Tue,%2029%20Aug%202023%2014:58:34%20GMT	https://www.banouto.bj/images/imagekit/mobile/w780/plateforme-petrole-gaz	www.banouto.bj/images/imagekit/mobile/w780/plateforme-petrole-gaz.html	(from https://www.banouto.bj/)
11:56:44	94718/94718	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:38%20GMT	https://www.banouto.bj/societe/article/20241025-le-benin-bientot-pays-producteur-et-exportateur-du-petrole-annonce-du-ministre-des-mines	www.banouto.bj/societe/article/20241025-le-benin-bientot-pays-producteur-et-exportateur-du-petrole-annonce-du-ministre-des-mines.html	(from https://www.banouto.bj/)
11:56:44	94227/94227	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:43%20GMT	https://www.banouto.bj/societe/article/20241024-enseignement-superieur-au-benin-le-gouvernement-adopte-un-code-de-deontologie-et-d-ethique	www.banouto.bj/societe/article/20241024-enseignement-superieur-au-benin-le-gouvernement-adopte-un-code-de-deontologie-et-d-ethique.html	(from https://www.banouto.bj/)
11:56:44	94912/94912	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:42%20GMT	https://www.banouto.bj/societe/article/20241024-justice-le-gouvernement-instaure-une-assistance-juridique-aux-beninois-devant-les-tribunaux	www.banouto.bj/societe/article/20241024-justice-le-gouvernement-instaure-une-assistance-juridique-aux-beninois-devant-les-tribunaux.html	(from https://www.banouto.bj/)
11:56:45	101925/101925	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:44%20GMT	https://www.banouto.bj/societe/article/20241022-benin-la-premiere-phase-d-un-concours-de-recrutement-de-796-agents-contractuels-au-profit-des-formations-sanitaires-publiques-lancee	www.banouto.bj/societe/article/20241022-benin-la-premiere-phase-d-un-concours-de-recrutement-de-796-agents-contractuels-au-profit-des-formations-sanitaires-publiques-lancee.html	(from https://www.banouto.bj/)
11:56:48	101780/101780	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:46%20GMT	https://www.banouto.bj/culture/article/20241018-seme-city-film-lab-opportunite-de-formation-au-profit-de-30-jeunes-aspirants-scenaristes	www.banouto.bj/culture/article/20241018-seme-city-film-lab-opportunite-de-formation-au-profit-de-30-jeunes-aspirants-scenaristes.html	(from https://www.banouto.bj/)
11:56:49	44634/44634	---M--	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202024%2018:08:11%20GMT	https://www.banouto.bj/images/imagekit/mobile/w780/cinema-symbol	www.banouto.bj/images/imagekit/mobile/w780/cinema-symbol.html	(from https://www.banouto.bj/)
11:56:50	96649/96649	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:49%20GMT	https://www.banouto.bj/culture/article/20241015-financement-de-projets-culturels-au-benin-comment-beneficier-du-fonds-de-developpement-des-arts-et-culture	www.banouto.bj/culture/article/20241015-financement-de-projets-culturels-au-benin-comment-beneficier-du-fonds-de-developpement-des-arts-et-culture.html	(from https://www.banouto.bj/)
11:56:50	95797/95797	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:49%20GMT	https://www.banouto.bj/culture/article/20241014-on-a-traverse-beaucoup-de-choses-legend-beatz-sur-les-12-mois-de-collaboration-avec-djecomon	www.banouto.bj/culture/article/20241014-on-a-traverse-beaucoup-de-choses-legend-beatz-sur-les-12-mois-de-collaboration-avec-djecomon.html	(from https://www.banouto.bj/)
11:56:57	99013/99013	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:51%20GMT	https://www.banouto.bj/culture/article/20241010-angelique-kidjo-la-musique-m-a-amene-a-decouvrir-la-dictature-chez-moi	www.banouto.bj/culture/article/20241010-angelique-kidjo-la-musique-m-a-amene-a-decouvrir-la-dictature-chez-moi.html	(from https://www.banouto.bj/)
11:56:57	98065/98065	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:55%20GMT	https://www.banouto.bj/culture/article/20241008-la-noyee-a-cotonou-le-public-seduit-par-un-spectacle-cri-a-la-promotion-de-la-cohabitation-humaine	www.banouto.bj/culture/article/20241008-la-noyee-a-cotonou-le-public-seduit-par-un-spectacle-cri-a-la-promotion-de-la-cohabitation-humaine.html	(from https://www.banouto.bj/)
11:56:57	3152/3152	---MCZ	200	added ('OK')	text/xml	date:Sun,%2027%20Oct%202024%2010:56:57%20GMT	https://www.banouto.bj/rss-actualites	www.banouto.bj/rss-actualites	(from https://www.banouto.bj/)
11:57:00	97512/97512	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:58%20GMT	https://www.banouto.bj/bien-etre/article/20241022-il-y-a-plus-de-medecins-beninois-en-ile-de-france-quau-benin-ca-pose-des-problemes-ethiques-une-ex-ministre-francais-s-indigne	www.banouto.bj/bien-etre/article/20241022-il-y-a-plus-de-medecins-beninois-en-ile-de-france-quau-benin-ca-pose-des-problemes-ethiques-une-ex-ministre-francais-s-indigne.html	(from https://www.banouto.bj/)
11:57:02	96075/96075	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:00%20GMT	https://www.banouto.bj/politique/article/20241022-presidentielle-2026-nouvelle-reponse-de-patrice-talon-sur-candidature-soupconnee	www.banouto.bj/politique/article/20241022-presidentielle-2026-nouvelle-reponse-de-patrice-talon-sur-candidature-soupconnee.html	(from https://www.banouto.bj/)
11:57:04	98426/98426	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:02%20GMT	https://www.banouto.bj/politique/article/20241021-on-va-les-accueillir-a-bras-ouverts-le-porte-parole-du-gouvernement-s-exprime-sur-le-retour-des-exiles-politiques	www.banouto.bj/politique/article/20241021-on-va-les-accueillir-a-bras-ouverts-le-porte-parole-du-gouvernement-s-exprime-sur-le-retour-des-exiles-politiques.html	(from https://www.banouto.bj/)
11:57:05	98021/98021	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:05%20GMT	https://www.banouto.bj/societe/article/20241021-kemi-seba-le-gouvernement-beninois-a-ete-preoccupe-lors-de-ses-recents-demeles-avec-la-justice-francaise	www.banouto.bj/societe/article/20241021-kemi-seba-le-gouvernement-beninois-a-ete-preoccupe-lors-de-ses-recents-demeles-avec-la-justice-francaise.html	(from https://www.banouto.bj/)
11:57:08	94647/94647	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:06%20GMT	https://www.banouto.bj/sport/article/20241023-ligue-des-champions-un-real-madrid-des-grands-soirs-renverse-dortmund-avec-un-triple-de-vinicius	www.banouto.bj/sport/article/20241023-ligue-des-champions-un-real-madrid-des-grands-soirs-renverse-dortmund-avec-un-triple-de-vinicius.html	(from https://www.banouto.bj/)
11:57:10	49090/49090	---M--	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202024%2021:40:37%20GMT	https://www.banouto.bj/images/imagekit/mobile/w780/vinicius-real-madrid	www.banouto.bj/images/imagekit/mobile/w780/vinicius-real-madrid.html	(from https://www.banouto.bj/)
11:57:11	94400/94400	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:09%20GMT	https://www.banouto.bj/sport/article/20241022-regional-youth-camp-fiba-girls-2024-une-jeune-basketteuse-represente-le-benin-a-abidjan	www.banouto.bj/sport/article/20241022-regional-youth-camp-fiba-girls-2024-une-jeune-basketteuse-represente-le-benin-a-abidjan.html	(from https://www.banouto.bj/)
11:57:12	98558/98558	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:12%20GMT	https://www.banouto.bj/sport/article/20241022-gymnasiades-2024-les-conseils-et-exhortations-du-ministre-dato-aux-athletes-beninois-avant-le-depart-pour-bahrein	www.banouto.bj/sport/article/20241022-gymnasiades-2024-les-conseils-et-exhortations-du-ministre-dato-aux-athletes-beninois-avant-le-depart-pour-bahrein.html	(from https://www.banouto.bj/)
11:57:17	96948/96948	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:13%20GMT	https://www.banouto.bj/sport/article/20241020-rehabilitation-du-stade-general-mathieu-kerekou-les-clarifications-du-gouvernement	www.banouto.bj/sport/article/20241020-rehabilitation-du-stade-general-mathieu-kerekou-les-clarifications-du-gouvernement.html	(from https://www.banouto.bj/)
11:57:19	93551/93551	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:18%20GMT	https://www.banouto.bj/vie-stars/article/20241021-couple-josey-dit-quelle-ne-pardonne-pas-linfidelite-et-enflamme-la-toile	www.banouto.bj/vie-stars/article/20241021-couple-josey-dit-quelle-ne-pardonne-pas-linfidelite-et-enflamme-la-toile.html	(from https://www.banouto.bj/)
11:57:22	95135/95135	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:20%20GMT	https://www.banouto.bj/vie-stars/article/20241013-deces-de-valery-du-groupe-espoir-2000-artistes-acteurs-culturels-journaliste-attristes	www.banouto.bj/vie-stars/article/20241013-deces-de-valery-du-groupe-espoir-2000-artistes-acteurs-culturels-journaliste-attristes.html	(from https://www.banouto.bj/)
11:57:24	46045/46045	---M--	200	added ('OK')	text/html	date:Mon,%2021%20Oct%202024%2006:13:25%20GMT	https://www.banouto.bj/images/imagekit/mobile/w780/josey	www.banouto.bj/images/imagekit/mobile/w780/josey.html	(from https://www.banouto.bj/)
11:57:25	94333/94333	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:24%20GMT	https://www.banouto.bj/vie-stars/article/20240924-endrick-et-miranda-gabriely-les-incroyables-clauses-de-mariage-des-deux-bresiliens	www.banouto.bj/vie-stars/article/20240924-endrick-et-miranda-gabriely-les-incroyables-clauses-de-mariage-des-deux-bresiliens.html	(from https://www.banouto.bj/)
11:57:28	96477/96477	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:26%20GMT	https://www.banouto.bj/bien-etre/article/20241015-naissance-de-lalliance-des-professionnels-des-medias-pour-la-sante-venance-tonongbe-elu-president	www.banouto.bj/bien-etre/article/20241015-naissance-de-lalliance-des-professionnels-des-medias-pour-la-sante-venance-tonongbe-elu-president.html	(from https://www.banouto.bj/)
11:57:28	57047/57047	---M--	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202024%2011:28:46%20GMT	https://www.banouto.bj/images/imagekit/mobile/w780/roselyne-bachelot	www.banouto.bj/images/imagekit/mobile/w780/roselyne-bachelot.html	(from https://www.banouto.bj/)
11:57:28	96414/96414	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:23%20GMT	https://www.banouto.bj/vie-stars/article/20241005-xixe-sommet-de-la-francophonie-un-chef-detat-apparait-dans-une-tenue-semblable-a-en-jupe	www.banouto.bj/vie-stars/article/20241005-xixe-sommet-de-la-francophonie-un-chef-detat-apparait-dans-une-tenue-semblable-a-en-jupe.html	(from https://www.banouto.bj/)
11:57:32	96959/96959	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:29%20GMT	https://www.banouto.bj/bien-etre/article/20241010-droits-de-l-enfant-pourquoi-le-directeur-regional-de-l-unicef-pour-l-afrique-de-l-ouest-et-du-centre-est-en-visite-au-benin	www.banouto.bj/bien-etre/article/20241010-droits-de-l-enfant-pourquoi-le-directeur-regional-de-l-unicef-pour-l-afrique-de-l-ouest-et-du-centre-est-en-visite-au-benin.html	(from https://www.banouto.bj/)
11:57:33	99193/99193	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:31%20GMT	https://www.banouto.bj/bien-etre/article/20241007-accelerer-la-reduction-des-deces-maternels-au-benin-care-et-le-cngob-reflechissent-ensemble	www.banouto.bj/bien-etre/article/20241007-accelerer-la-reduction-des-deces-maternels-au-benin-care-et-le-cngob-reflechissent-ensemble.html	(from https://www.banouto.bj/)
11:57:33	46945/46945	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/icon.png	www.banouto.bj/icon.png	(from https://www.banouto.bj/)
11:57:33	100481/100481	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:33%20GMT	https://www.banouto.bj/politique/article/20240411-benin-le-gouvernement-annonce-le-recrutement-de-416-fonctionnaires	www.banouto.bj/politique/article/20240411-benin-le-gouvernement-annonce-le-recrutement-de-416-fonctionnaires.html	(from https://www.banouto.bj/)
11:57:35	4687/4687	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:35%20GMT	https://www.banouto.bj/cdn-cgi/l/email-protection	www.banouto.bj/cdn-cgi/l/email-protection.html	(from https://www.banouto.bj/)
11:57:35	102794/102794	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:34%20GMT	https://www.banouto.bj/societe/article/20241008-classement-des-nouveaux-bacheliers-au-benin-liste-des-candidats-retenus-a-titre-entierement-payant-a-l-universite-d-abomey-calavi	www.banouto.bj/societe/article/20241008-classement-des-nouveaux-bacheliers-au-benin-liste-des-candidats-retenus-a-titre-entierement-payant-a-l-universite-d-abomey-calavi.html	(from https://www.banouto.bj/)
11:57:36	334/334	---MC-	302	error ('Found')	text/html	date:Sun,%2027%20Oct%202024%2010:57:36%20GMT	https://www.banouto.bj/rubrique/sports	www.banouto.bj/rubrique/sports	(from https://www.banouto.bj/)
11:57:38	55195/55195	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:37%20GMT	https://www.banouto.bj/qui-sommes-nous	www.banouto.bj/qui-sommes-nous.html	(from https://www.banouto.bj/)
11:57:40	45336/45336	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:39%20GMT	https://www.banouto.bj/mentions-legales	www.banouto.bj/mentions-legales.html	(from https://www.banouto.bj/)
11:57:40	47472/47472	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:57:38%20GMT	https://www.banouto.bj/contacts	www.banouto.bj/contacts.html	(from https://www.banouto.bj/)
11:57:40	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267180f7e-4d7%22	https://www.banouto.bj/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	www.banouto.bj/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.banouto.bj/)
11:57:43	7083/7083	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/js/jquery-migrate-3.0.0.min.js	www.banouto.bj/js/jquery-migrate-3.0.0.min.js	(from https://www.banouto.bj/)
11:57:43	86341/86341	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/js/jquery-3.0.0.min.js	www.banouto.bj/js/jquery-3.0.0.min.js	(from https://www.banouto.bj/)
11:57:45	8415/8415	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/js/wow.min.js	www.banouto.bj/js/wow.min.js	(from https://www.banouto.bj/)
11:57:46	61877/61877	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/js/jquery.fancybox.js	www.banouto.bj/js/jquery.fancybox.js	(from https://www.banouto.bj/)
11:57:47	17885/17885	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2021%20Aug%202023%2004:11:59%20GMT	https://www.banouto.bj/js/lity.js	www.banouto.bj/js/lity.js	(from https://www.banouto.bj/)
